id,key,value,type
103336127,highway,traffic_signals,regular
103336133,highway,motorway_junction,regular
103336133,ref,5A,regular
103336536,railway,level_crossing,regular
103336538,railway,level_crossing,regular
103336903,highway,motorway_junction,regular
103336903,ref,2,regular
103337007,highway,motorway_junction,regular
103337007,old_ref,48,regular
103337007,ref,354,regular
103337615,highway,traffic_signals,regular
103337616,highway,traffic_signals,regular
103338015,highway,turning_circle,regular
103338134,highway,traffic_signals,regular
103338372,highway,traffic_signals,regular
103338390,highway,traffic_signals,regular
103338394,highway,traffic_signals,regular
103339724,highway,turning_circle,regular
103339769,highway,traffic_signals,regular
103340244,highway,traffic_signals,regular
103340764,highway,motorway_junction,regular
103341079,highway,traffic_signals,regular
103341968,highway,motorway_junction,regular
103341968,ref,4,regular
103342402,highway,traffic_signals,regular
103343567,highway,motorway_junction,regular
103343815,crossing,unmarked,regular
103343815,highway,crossing,regular
103343863,highway,traffic_signals,regular
103344270,highway,traffic_signals,regular
103344511,highway,motorway_junction,regular
103344511,ref,5A,regular
103344525,highway,traffic_signals,regular
103344538,highway,motorway_junction,regular
103344723,highway,motorway_junction,regular
103344723,noref,yes,regular
103345965,highway,motorway_junction,regular
103346474,highway,traffic_signals,regular
103346551,highway,motorway_junction,regular
103346551,ref,32,regular
103349217,highway,motorway_junction,regular
103349219,highway,motorway_junction,regular
103349219,ref,34A,regular
103350156,building,terrace,regular
103350660,highway,traffic_signals,regular
103350765,railway,level_crossing,regular
103350794,highway,traffic_signals,regular
103350820,highway,traffic_signals,regular
103350839,highway,traffic_signals,regular
103350845,highway,traffic_signals,regular
103350847,highway,traffic_signals,regular
103350893,highway,traffic_signals,regular
103350898,highway,traffic_signals,regular
103350947,railway,level_crossing,regular
103351607,highway,traffic_signals,regular
103351657,highway,traffic_signals,regular
103351657,traffic_signals,signal,regular
103351661,highway,traffic_signals,regular
103351682,highway,traffic_signals,regular
103351686,highway,traffic_signals,regular
103352731,highway,traffic_signals,regular
103352731,traffic_signals,signal,regular
103352731,direction,both,traffic_signals
103353228,highway,traffic_signals,regular
103353257,highway,traffic_signals,regular
103353258,highway,traffic_signals,regular
103353258,railway,level_crossing,regular
103353266,highway,traffic_signals,regular
103353266,traffic_signals,signal,regular
103353268,highway,traffic_signals,regular
103353268,traffic_signals,signal,regular
103353272,highway,traffic_signals,regular
103353294,highway,traffic_signals,regular
103353387,highway,traffic_signals,regular
103353399,highway,turning_circle,regular
103354156,highway,traffic_signals,regular
103354164,highway,traffic_signals,regular
103354170,highway,traffic_signals,regular
103354172,highway,traffic_signals,regular
103355338,highway,traffic_signals,regular
103355346,highway,traffic_signals,regular
103355686,highway,traffic_signals,regular
103355714,highway,traffic_signals,regular
103355717,highway,traffic_signals,regular
103355735,highway,traffic_signals,regular
103355748,highway,traffic_signals,regular
103355748,traffic_signals,signal,regular
103355748,direction,both,traffic_signals
103356101,highway,traffic_signals,regular
103356105,highway,traffic_signals,regular
103356110,highway,traffic_signals,regular
103356110,traffic_signals,signal,regular
103356112,highway,traffic_signals,regular
103356112,traffic_signals,signal,regular
103356395,highway,motorway_junction,regular
103356395,noref,yes,regular
103356413,highway,traffic_signals,regular
103356417,highway,traffic_signals,regular
103357072,highway,traffic_signals,regular
103357082,highway,traffic_signals,regular
103357115,highway,traffic_signals,regular
103357115,traffic_signals,signal,regular
103357124,highway,traffic_signals,regular
103357124,traffic_signals,signal,regular
103357181,highway,traffic_signals,regular
103357222,highway,traffic_signals,regular
103357283,highway,traffic_signals,regular
103357351,highway,traffic_signals,regular
103357367,highway,traffic_signals,regular
103357563,highway,traffic_signals,regular
103357618,highway,traffic_signals,regular
103357647,highway,traffic_signals,regular
103357685,highway,traffic_signals,regular
103357685,traffic_signals,signal,regular
103357762,highway,traffic_signals,regular
103357962,highway,turning_circle,regular
103358125,highway,motorway_junction,regular
103358125,noref,yes,regular
103358132,highway,traffic_signals,regular
103358139,highway,traffic_signals,regular
103358141,highway,traffic_signals,regular
103358189,highway,traffic_signals,regular
103358811,highway,traffic_signals,regular
103359505,highway,traffic_signals,regular
103359900,highway,traffic_signals,regular
103360022,noexit,yes,regular
103360041,highway,traffic_signals,regular
103360041,traffic_signals,signal,regular
103362122,highway,turning_circle,regular
103362493,highway,traffic_signals,regular
103362625,highway,traffic_signals,regular
103362648,highway,traffic_signals,regular
103362683,highway,traffic_signals,regular
103362685,highway,traffic_signals,regular
103362690,highway,traffic_signals,regular
103362696,highway,traffic_signals,regular
103362696,traffic_signals,signal,regular
103362729,highway,traffic_signals,regular
103362771,highway,traffic_signals,regular
103362778,highway,traffic_signals,regular
103362788,highway,traffic_signals,regular
103362802,highway,traffic_signals,regular
103362802,traffic_signals,signal,regular
103362839,highway,traffic_signals,regular
103363051,railway,level_crossing,regular
103363083,highway,traffic_signals,regular
103363113,highway,traffic_signals,regular
103363137,highway,traffic_signals,regular
103363137,traffic_signals,signal,regular
103363153,highway,traffic_signals,regular
103363166,traffic_calming,table,regular
103363220,highway,traffic_signals,regular
103364436,highway,turning_circle,regular
103365281,highway,turning_circle,regular
103365714,highway,traffic_signals,regular
103365714,source,Bing,regular
103365886,highway,traffic_signals,regular
103365886,source,Bing,regular
103366648,highway,traffic_signals,regular
103366932,highway,traffic_signals,regular
103367109,highway,traffic_signals,regular
103367109,traffic_signals,signal,regular
103367647,highway,traffic_signals,regular
103367647,traffic_signals,signal,regular
103367663,highway,traffic_signals,regular
103367663,traffic_signals,signal,regular
103367699,highway,traffic_signals,regular
103367839,highway,traffic_signals,regular
103367839,traffic_signals,signal,regular
103367853,highway,traffic_signals,regular
103367853,traffic_signals,signal,regular
103368093,highway,traffic_signals,regular
103368103,highway,traffic_signals,regular
103368107,highway,traffic_signals,regular
103368375,highway,traffic_signals,regular
103368375,traffic_signals,signal,regular
103368378,highway,traffic_signals,regular
